brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name
Acer,LIQUID Z110,Working,Grade B B2B,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,liquid z2,Working,Grade B - Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,White,Unlocked
Acer,liquid z2,Working,Grade B - Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade B - Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade C - Acceptable Condition,2GB,Black,Unlocked
Acer,LIQUID Z200,Non-working - Need Battery,Not Graded,4GB,Black,EE Network
Acer,LIQUID Z220,Working,Grade A - Very Good Condition,8GB,Black,Unlocked
Acer,LIQUID Z220,Working,Grade C - Acceptable Condition,8GB,Black,Unlocked
Acer,LIQUID Z220,Non-working - Need Battery,Not Graded,8GB,Black,EE Network
Acer,LIQUID Z220,Non-working - Need Battery,Not Graded,8GB,White,EE Network
Acer,LIQUID Z220,Non-working - Need Battery,Not Graded,8GB,White,EE Network
Acer,liquid z4,Working,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Working,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Brand New,Insurance Grade,4GB,Black,Unlocked
Acer,liquid z4,Brand New,Insurance Grade,4GB,Black,Unlocked
Acer,liquid z4,Working,Grade B - Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Working,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Working,Not Graded,4GB,Black,Unlocked
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,White,Unlocked
Acer,liquid z4,Non-working - Need Battery,Grade B - Good Condition,4GB,White,Damaged
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Non-working,Unknown,4GB,Pink,Damaged
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,Pink,Unlocked
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,LIQUID Z410,Non-working - Need Battery,Not Graded,8GB,Black,EE Network
Acer,LIQUID Z410,Non-working - Need Battery,Not Graded,8GB,Black,EE Network
Acer,LIQUID Z5,Working,Grade A - Very Good Condition,4GB,Grey,Unlocked
Acer,LIQUID Z5,Brand New,Insurance Grade,4GB,Black,Unlocked
Acer,LIQUID Z5,Brand New,Insurance Grade,4GB,White,Unlocked
Acer,LIQUID Z5,Brand New,Insurance Grade,4GB,White,Unlocked
Acer,Liquid Z5 Duo,Working - Minor Issue,Grade D,4GB,Grey,Unlocked
Acer,LIQUID Z500,Working,Grade A - Very Good Condition,4GB,Silver,Unlocked
Acer,LIQUID Z500,Non-working,Grade A - Very Good Condition,4GB,Silver,Unlocked
Acer,LIQUID Z500,Working,Grade C - Acceptable Condition,4GB,Black,Unlocked
Acer,P223W - MONITOR,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable
Acer,V173 MONITOR,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable
Acer,V173 MONITOR,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable
Acer,V193HQV,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable
Acer,V193HQV,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable
ADMET,V10,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
Advent, 7113 1.73GHz 1GB RAM 80GB HDD 15.4 Inch,BER,Not Graded,Not Applicable,Black,Not Applicable
AEROFLEX,9102 HANDHELD SPECTRUM ANALYZER -  HSA 9102B,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Insurance Grade,Not Applicable,Red,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Insurance Grade,Not Applicable,Blue,Not Applicable
AIRFORCE,WATER PROOF POUCH,Brand New,Brand New,Not Applicable,Red,Not Applicable
AIRTIES,AIR 4420-TV WIRELESS,Brand New,Insurance Grade,Not Applicable,Black,Not Applicable
AKASA,PROCESSOR COOLER - AK 785SE,Brand New,Insurance Grade,Not Applicable,Black,Not Applicable
AKASA,PROCESSOR COOLER - AK 785SE,Brand New,Insurance Grade,Not Applicable,Black,Not Applicable
AKASA,PROCESSOR COOLER - AK 785SE,Brand New,Insurance Grade,Not Applicable,Black,Not Applicable
AKASA,PROCESSOR COOLER - AK 785SE,Brand New,Insurance Grade,Not Applicable,Black,Not Applicable
ALBA,AC50FNE,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
ALBA,AC50FNE,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
ALBA,ACF18,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,O2
ALBA,ACF18,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
ALBA,ACF18,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
ALBA,ACF18,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
ALBA,ACF18,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
ALBA,ACF18,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
ALBA,ACF28,BER-Scrap,Grade D,Not Applicable,Purple,Damaged
ALBA,ACSE2G,BER-Scrap,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
Alcatel, ONE TOUCH OT 983,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Non-working,Grade D,Not Applicable,Black,Tesco-Mobile
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Power On Tested-Good LCD,Unknown,Not Applicable,Black,Tesco-Mobile
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Non-working,Unknown,Not Applicable,Black,Tesco-Mobile
Alcatel,10.16,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,10.16,Power On Tested-Good LCD,Grade B - Good Condition,Not Applicable,Black,Tesco-Mobile
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,BER,Grade C - Acceptable Condition,Not Applicable,Black,Unknown
Alcatel,10.16,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade B B2B,Not Applicable,Black,Unlocked
Alcatel,10.16,BER,Grade D,Not Applicable,Black,Unknown
Alcatel,10.16,Brand New,Brand New,Not Applicable,Black,Unlocked
Alcatel,10.16,Brand New,Brand New,Not Applicable,Black,Unlocked
Alcatel,10.16,Brand New,Brand New,Not Applicable,Black,Unlocked
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,EE Network
Alcatel,10.16,Working,Grade C - Acceptable Condition,Not Applicable,Black,EE Network
Alcatel,1010 TES BLK,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,BER,Grade D,Not Applicable,Black,Tesco-Mobile
Alcatel,1010 TES BLK,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010 TES BLK,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,1010X,Power On Tested-Broken LCD,Grade C - Acceptable Condition,Not Applicable,Black,Tesco-Mobile
Alcatel,1010X,BER,Grade D,Not Applicable,Black,Tesco-Mobile
Alcatel,1010X,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,BER,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,BER,Grade C - Acceptable Condition,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,Working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Unlock,Grade B - Good Condition,Not Applicable,Black,Virgin
Alcatel,1010X,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,BER,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Power On Tested-Good LCD,Grade C - Acceptable Condition,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,BER,Grade D,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Power On Tested-Good LCD,Grade C - Acceptable Condition,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,Working,Grade D,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover And Battery,Grade C - Acceptable Condition,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade B - Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working - Need Battery Cover,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Non-working,Unknown,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,Non-working,Unknown,Not Applicable,Black,NOS-Portugal
Alcatel,1010X,Power On Tested-Good LCD,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
Alcatel,1010X,Power On Tested-Good LCD,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
Alcatel,1010X,Power On Tested-Good LCD,Grade C - Acceptable Condition,Not Applicable,Black,Damaged
Alcatel,1010X,BER-Scrap,Grade D,Not Applicable,Black,Damaged
Alcatel,1010X,Working,Grade D,1GB,Black,Unlocked
Alcatel,1010X,Working,Grade D,1GB,Black,Virgin
Alcatel,1010X,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1010X,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B B2B,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade A - Very Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade A - Very Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Brand New,Insurance Grade,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade A - Very Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B B2B,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade A - Very Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade A - Very Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Brand New,Insurance Grade,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Brand New,Insurance Grade,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade A - Very Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade C - Acceptable Condition,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Brand New,Insurance Grade,Not Applicable,Bluish Black,Unlocked
Alcatel,1013X,Working,Grade B - Good Condition,Not Applicable,Bluish Black,Unlocked
